정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
강화실버케어스앞,43975,24,103,24,103,0,4
강화실버케어스앞,43976,37,87,36,87,1,4
강화여자중학교,90334,0,10,0,10,0,0
강화역사박물관(고인돌),43601,340,25,328,25,12,11
강화역사박물관(고인돌),43670,15,412,15,412,0,13
강화장례식장,43918,1355,74,1327,74,28,46
강화장례식장,43946,31,1676,27,1676,4,55
강화중학교,43207,26,28,26,28,0,1
강화중학교,43623,15,52,15,52,0,2
강화터미널,43058,0,2,0,2,0,0
강화터미널,43096,44829,1680,43963,1680,866,1500
개항동 어울터,35197,8661,1652,8617,1652,44,332
개항동 어울터,35198,2021,8357,2012,8357,9,334
개화2치안센터,25023,29,1470,29,1470,0,48
개화2치안센터,25024,2006,35,2006,35,0,65
개화역1번출구.개화검문소,25030,171,6572,171,6572,0,217
개화역1번출구.개화검문소,25031,2113,272,2110,272,3,76
개화역광역환승센터,25182,1394,2332,1394,2332,0,120
갤러리84입구,35666,146,20,145,20,1,5
갤러리84입구,35667,62,156,61,156,1,7
갯벌슈퍼,43410,1,28,1,28,0,0
갯벌슈퍼,43513,14,17,14,17,0,1
거북시장,42132,12637,10722,12547,10722,90,753
거북시장,42136,11744,10137,11697,10137,47,705
거산정공.(주)록키,39137,1490,2316,1490,2316,0,122
거잠포선착장,35302,50,178,46,178,4,7
거잠포선착장,35303,128,61,128,61,0,6
거잠포회센터,35588,84,9,83,9,1,3
건설기술교육원,39353,5853,11138,5850,11138,3,548
건설기술교육원,39354,4982,3709,4981,3709,1,280
건영아파트,38069,15626,39824,15610,39824,16,1788
건일아파트,43015,387,264,386,264,1,21
건일아파트,43094,287,269,285,269,2,17
건지사거리,42882,77,1,77,1,0,2
건지사거리,42883,1,215,1,215,0,6
건평,43168,54,42,54,42,0,3
건평,43186,4,67,4,67,0,2
건평리,43187,48,16,47,16,1,2
건평리,43651,11,41,11,41,0,1
건평마을회관,43594,6,47,6,47,0,1
건평입구,43170,1,12,1,12,0,0
건평입구,43331,1,9,1,9,0,0
걸포북변역,35560,11,4146,11,4146,0,134
걸포북변역,35610,1653,95,1653,95,0,56
걸포사거리.우리병원,35561,153,298,153,298,0,14
검단1차피오레,89457,351,210,351,210,0,18
검단1차피오레,89458,43,452,43,452,0,15
검단LH행복주택,89408,12656,3608,12651,3608,5,524
검단공구상가,89053,46,735,46,735,0,25
검단공구상가,89065,490,222,490,222,0,22
검단금호아파트,42557,2,140,2,140,0,4
검단금호아파트,42558,229,461,229,461,0,22
검단노인복지관,42695,84,466,82,466,2,17
검단농기구센터,89316,94,1,89,1,5,3
검단농기구센터,89324,2,177,2,177,0,5
검단농협,42432,23680,8704,23664,8704,16,1044
검단농협,42434,5280,13356,5263,13356,17,601
검단대성베르힐,89467,2330,639,2330,639,0,95
검단동행정복지센터(검단고교),42441,2600,6288,2590,6288,10,286
검단동행정복지센터(검단고교),42445,2941,3433,2938,3433,3,205
검단디에트르리버파크,89476,791,4335,790,4335,1,165
검단디에트르리버파크,89477,3288,758,3284,758,4,130
검단로제비앙라포레,89483,2457,16,2457,16,0,79
검단로제비앙라포레,89484,2,1049,2,1049,0,33
검단로지스틱스파크,41339,1399,388,1393,388,6,57
검단로지스틱스파크,42395,381,2835,381,2835,0,103
검단메가박스,42383,1955,1716,1953,1716,2,118
검단메가박스,42384,326,966,326,966,0,41
검단모아미래도엘리트,89466,1116,4349,1116,4349,0,176
검단모아엘가그랑데아파트,42483,6971,1364,6961,1364,10,268
검단사거리역,42419,14113,14264,14100,14264,13,915
검단사거리역,42426,1737,7604,1724,7604,13,301
검단사거리역,42427,6882,2556,6837,2556,45,304
검단사거리역,42537,10496,12779,10484,12779,12,750
검단산업단지(코뿔소),42805,167,2,167,2,0,5
검단산업단지(코뿔소),42806,23,42,23,42,0,2
검단소방서,42428,996,4531,991,4531,5,178
검단소방서,42431,308,2090,302,2090,6,77
검단신도시우미린리버포레,89409,5164,11488,5150,11488,14,537
검단신안인스빌어반퍼스트,89511,2241,33,2241,33,0,73
검단신안인스빌어반퍼스트,89512,85,1580,85,1580,0,53
검단오류공단,42702,27,540,27,540,0,18
검단오류공단,42703,242,12,242,12,0,8
검단오류역,89057,6298,709,6295,709,3,226
검단오류역,89060,521,6187,521,6187,0,216
검단오류역우방아이유쉘,89067,596,1024,596,1024,0,52
검단오류역우방아이유쉘,89068,1157,314,1154,314,3,47
검단오류풍림아이원,89251,144,377,144,377,0,16
검단오류풍림아이원,89252,372,199,372,199,0,18
