정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
송도더샵마스터뷰23단지,38442,490,5099,489,5099,1,180
송도더샵마스터뷰23단지(정문),38692,1694,258,1694,258,0,62
송도더샵센트럴시티,39842,2302,3525,2292,3525,10,187
송도더샵센트럴시티.글로벌캠퍼스푸르지오,38647,5538,1146,5538,1146,0,215
송도더샵퍼스트월드,38589,1167,1612,1167,1612,0,89
송도더샵퍼스트월드(동문),38013,17973,6807,17964,6807,9,799
송도더샵퍼스트월드(서문),38381,3801,1583,3798,1583,3,173
송도더샵퍼스트월드B동.C동,38425,3906,2352,3896,2352,10,201
송도더샵퍼스트월드D동,38009,1725,1869,1721,1869,4,115
송도더샵퍼스트파크14단지,38560,525,3680,510,3680,15,135
송도더샵퍼스트파크14단지,38577,2940,339,2925,339,15,105
송도더샵퍼스트파크15단지,38559,217,1003,215,1003,2,39
송도더샵퍼스트파크15단지,38576,1018,209,1008,209,10,39
송도더샵하버뷰2차,38467,2385,12940,2378,12940,7,494
송도동일하이빌파크포레아파트,38680,3105,1042,3084,1042,21,133
송도라마다호텔앞,38065,2495,4831,2488,4831,7,236
송도라마다호텔앞,38067,12312,8631,12280,8631,32,675
송도랜드마크시티13호근린공원,38738,285,1637,285,1637,0,62
송도랜드마크시티13호근린공원,38739,979,441,979,441,0,45
송도랜드마크푸르지오시티,38747,875,1362,873,1362,2,72
송도베르디움더퍼스트후문,39985,1264,4661,1264,4661,0,191
송도세브란스병원,38651,24,622,24,622,0,20
송도센트럴파크,38452,2298,6365,2298,6365,0,279
송도센트럴파크역,38563,2139,975,2127,975,12,100
송도소방서(송도스마트밸리),39801,1798,2671,1798,2671,0,144
송도스마트밸리,39802,4103,1584,4103,1584,0,183
송도스포츠센터(LNG야구장),39721,1237,811,1237,811,0,66
송도아트윈푸르지오,38549,600,532,591,532,9,36
송도아트윈푸르지오,38562,2,333,2,333,0,10
송도에듀포레푸르지오,39921,1414,2899,1414,2899,0,139
송도에듀포레푸르지오후문,39986,5188,817,5188,817,0,193
송도역,38213,2636,2014,2634,2014,2,150
송도역,38505,8537,16412,8523,16412,14,804
송도역,38669,890,1467,890,1467,0,76
송도영남아파트,38224,8612,6933,8584,6933,28,501
송도오션파크베르디움,38642,1281,17371,1278,17371,3,601
송도요양원,38144,1676,2634,1676,2634,0,139
송도유원지(도로교통공단),38081,11639,13486,11599,13486,40,810
송도유원지(도로교통공단),38088,20108,8176,19997,8176,111,912
송도자이하버뷰,38521,2958,1757,2958,1757,0,152
송도자이하버뷰1단지,38468,17069,2322,17060,2322,9,625
송도자이하버뷰2단지(202동),38488,1673,2940,1655,2940,18,148
송도자이하버뷰2단지(205동),38455,538,433,538,433,0,31
송도자이하버뷰2단지(정문),38465,2532,1741,2522,1741,10,137
송도자이하버뷰2단지(정문),38498,1793,1773,1791,1773,2,115
송도재래시장,38207,6313,7305,6301,7305,12,439
송도재래시장,38210,8549,8046,8539,8046,10,535
송도재래시장,38220,6318,2476,6304,2476,14,283
송도제2차고지,38703,443,18,417,18,26,14
송도제2차고지입구,38735,217,506,214,506,3,23
송도중학교,35155,11659,12848,11598,12848,61,790
송도지웰푸르지오시티,38424,6286,10884,6280,10884,6,553
송도채석장,38175,767,2300,767,2300,0,98
송도체육센터,38699,130,615,130,615,0,24
송도체육센터,38700,681,170,681,170,0,27
송도컨벤시아,38367,2154,7581,2150,7581,4,314
송도컨벤시아,38369,2878,1521,2865,1521,13,141
