시즌,에피소드,에피소드 이름,날짜,평점
12,5,The Planetarium Collision,"Thu, Oct 18, 2018",6.8
12,6,The Imitation Perturbation,"Thu, Oct 25, 2018",8.2
12,7,The Grant Allocation Derivation,"Thu, Nov 1, 2018",7.3
12,8,The Consummation Deviation,"Thu, Nov 8, 2018",7.3
12,9,The Citation Negation,"Thu, Nov 15, 2018",7.2
12,10,The VCR Illumination,"Thu, Dec 6, 2018",7.4
12,11,The Paintball Scattering,"Thu, Jan 3, 2019",7.2
12,12,The Propagation Proposition,"Thu, Jan 10, 2019",7.1
12,13,The Confirmation Polarization,"Thu, Jan 17, 2019",7.1
12,14,The Meteorite Manifestation,"Thu, Jan 31, 2019",7.1
12,15,The Donation Oscillation,"Thu, Feb 7, 2019",7.4
12,16,The D & D Vortex,"Thu, Feb 21, 2019",7.9
12,17,The Conference Valuation,"Thu, Mar 7, 2019",7.1
12,18,The Laureate Accumulation,"Thu, Apr 4, 2019",7.1
12,19,The Inspiration Deprivation,"Thu, Apr 18, 2019",7.0
12,20,The Decision Reverberation,"Thu, Apr 25, 2019",7.1
12,21,The Plagiarism Schism,"Thu, May 2, 2019",7.2
12,22,The Maternal Conclusion,"Thu, May 9, 2019",7.9
12,23,The Change Constant,"Thu, May 16, 2019",9.0
12,24,The Stockholm Syndrome,"Thu, May 16, 2019",9.5
